materialNo,title,category,status,orderable,attributes
10000361,vario quick Grundscheibe 100,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Baugröße=100; Passend für=TOPlus mini
TOPlus premium
SPANNTOP mini; Beschreibung=vorbereitet für Späneschutzring"
10000363,vario quick Grundscheibe 80,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Baugröße=80; Passend für=TOPlus mini
TOPlus premium
SPANNTOP mini; Beschreibung=vorbereitet für Späneschutzring"
10000364,vario quick Grundscheibe 42,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,Baugröße=42; Passend für=SPANNTOP mini; Beschreibung=vorbereitet für Späneschutzring
10000366,vario quick Grundscheibe 40,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Baugröße=40; Passend für=TOPlus mini
TOPlus premium; Beschreibung=vorbereitet für Späneschutzring"
10000370,vario quick Grundscheibe 52,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,Baugröße=52; Anschlagtyp=T1; Beschreibung=nicht vorbereitet für Späneschutzring
10000372,vario quick - Starter-Set Größe 65,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=TOROK Stahl / CFK SE/RD
MANOK plus CFK SE/RD; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 39 mm
Rohlingschraube Ø 63 mm
Späneschutzring"
10000373,vario quick - Standard-Set Größe 65,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=TOROK Stahl / CFK SE/RD
MANOK plus CFK SE/RD; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 39 / 49 / 59 mm
Rohlingschraube Ø 63 mm
Späneschutzring"
10000374,vario quick Grundscheibe 65,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,Baugröße=65; Anschlagtyp=T1; Beschreibung=vorbereitet für Späneschutzring
10000375,vario quick Grundscheibe 65,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,Baugröße=65; Anschlagtyp=T2; Beschreibung=nicht vorbereitet für Späneschutzring
10000376,vario quick - Starter-Set Größe 32,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=32; Passend für=SPANNTOP mini; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 mm
Rohlingschraube Ø 30 mm
Späneschutzring"
10000377,vario quick - Standard-Set Größe 32,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=32; Passend für=SPANNTOP mini; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 mm
Rohlingschraube Ø 30 mm
Späneschutzring"
10000378,vario quick - Starter-Set Größe 40,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=40; Passend für=TOPlus mini
TOPlus premium; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 mm
Rohlingschraube Ø 40 mm
Späneschutzring"
10000379,vario quick - Standard-Set Größe 40,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=40; Passend für=TOPlus mini
TOPlus premium; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 34 mm
Rohlingschraube Ø 40 mm
Späneschutzring"
10000380,vario quick - Starter-Set Größe 42,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=42; Passend für=SPANNTOP mini; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 mm
Rohlingschraube Ø 40 mm
Späneschutzring"
10000381,vario quick - Standard-Set Größe 42,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=42; Passend für=SPANNTOP mini; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 34 mm
Rohlingschraube Ø 40 mm
Späneschutzring"
10000382,vario quick - Starter-Set Größe 52,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=52; Passend für=TOPlus mini
TOPlus premium
SPANNTOP mini; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 39 mm
Rohlingschraube Ø 50 mm
Späneschutzring"
10000383,vario quick - Standard-Set Größe 52,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=52; Passend für=TOPlus mini
TOPlus premium
SPANNTOP mini; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 39 / 49 mm
Rohlingschraube Ø 50 mm
Späneschutzring"
